a0,b1,c2,d3,e4,f5,g6,f7,g8,h9,i10,j11,k12,l13,m14,n15,o16,p17,q18,r19,s20,t21,u22,v23
0,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle,,,,,,,,,,,,,,,,,,,,
1,reticle,reflex,mc/mtl_t6_attach_optic_holo_reticle_zm_03,,,,,,,,,,,,,,,,,,,,
2,reticle,reflex,mc/mtl_t6_attach_optic_holo_reticle_zm_05,,,,,,,,,,,,,,,,,,,,
3,reticle,reflex,mc/mtl_t6_attach_optic_holo_reticle_zm_06,,,,,,,,,,,,,,,,,,,,
4,reticle,reflex,mc/mtl_t6_attach_optic_holo_reticle_zm_07,,,,,,,,,,,,,,,,,,,,
5,reticle,reflex,mc/mtl_t6_attach_optic_holo_reticle_zm_10,,,,,,,,,,,,,,,,,,,,
6,reticle,reflex,mc/mtl_t6_attach_optic_holo_reticle_zm_11,,,,,,,,,,,,,,,,,,,,
7,reticle,reflex,mc/mtl_t6_attach_optic_holo_reticle_zm_12,,,,,,,,,,,,,,,,,,,,
8,reticle,reflex,mc/mtl_t6_attach_optic_holo_reticle_zm_13,,,,,,,,,,,,,,,,,,,,
9,reticle,reflex,mc/mtl_t6_attach_optic_holo_reticle_zm_14,,,,,,,,,,,,,,,,,,,,
10,reticle,reflex,mc/mtl_t6_attach_optic_holo_reticle_zm_16,,,,,,,,,,,,,,,,,,,,
11,reticle,reflex,mc/mtl_t6_attach_optic_holo_reticle_zm_17,,,,,,,,,,,,,,,,,,,,
12,reticle,reflex,mc/mtl_t6_attach_optic_holo_reticle_zm_18,,,,,,,,,,,,,,,,,,,,
13,reticle,reflex,mc/mtl_t6_attach_optic_holo_reticle_zm_19,,,,,,,,,,,,,,,,,,,,
14,reticle,reflex,mc/mtl_t6_attach_optic_holo_reticle_zm_20,,,,,,,,,,,,,,,,,,,,
15,reticle,reflex,mc/mtl_t6_attach_optic_holo_reticle_zm_21,,,,,,,,,,,,,,,,,,,,
16,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle,,,,,,,,,,,,,,,,,,,,
0,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle,,,,,,,,,,,,,,,,,,,,
1,reticle,acog,mc/mtl_t6_attach_optic_holo_reticle_zm_03,,,,,,,,,,,,,,,,,,,,
2,reticle,acog,mc/mtl_t6_attach_optic_holo_reticle_zm_05,,,,,,,,,,,,,,,,,,,,
3,reticle,acog,mc/mtl_t6_attach_optic_holo_reticle_zm_06,,,,,,,,,,,,,,,,,,,,
4,reticle,acog,mc/mtl_t6_attach_optic_holo_reticle_zm_07,,,,,,,,,,,,,,,,,,,,
5,reticle,acog,mc/mtl_t6_attach_optic_holo_reticle_zm_10,,,,,,,,,,,,,,,,,,,,
6,reticle,acog,mc/mtl_t6_attach_optic_holo_reticle_zm_11,,,,,,,,,,,,,,,,,,,,
7,reticle,acog,mc/mtl_t6_attach_optic_holo_reticle_zm_12,,,,,,,,,,,,,,,,,,,,
8,reticle,acog,mc/mtl_t6_attach_optic_holo_reticle_zm_13,,,,,,,,,,,,,,,,,,,,
9,reticle,acog,mc/mtl_t6_attach_optic_holo_reticle_zm_14,,,,,,,,,,,,,,,,,,,,
10,reticle,acog,mc/mtl_t6_attach_optic_holo_reticle_zm_16,,,,,,,,,,,,,,,,,,,,
11,reticle,acog,mc/mtl_t6_attach_optic_holo_reticle_zm_17,,,,,,,,,,,,,,,,,,,,
12,reticle,acog,mc/mtl_t6_attach_optic_holo_reticle_zm_18,,,,,,,,,,,,,,,,,,,,
13,reticle,acog,mc/mtl_t6_attach_optic_holo_reticle_zm_19,,,,,,,,,,,,,,,,,,,,
14,reticle,acog,mc/mtl_t6_attach_optic_holo_reticle_zm_20,,,,,,,,,,,,,,,,,,,,
15,reticle,acog,mc/mtl_t6_attach_optic_holo_reticle_zm_21,,,,,,,,,,,,,,,,,,,,
16,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle,,,,,,,,,,,,,,,,,,,,
0,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle,,,,,,,,,,,,,,,,,,,,
1,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_zm_03,,,,,,,,,,,,,,,,,,,,
2,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_zm_05,,,,,,,,,,,,,,,,,,,,
3,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_zm_06,,,,,,,,,,,,,,,,,,,,
4,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_zm_07,,,,,,,,,,,,,,,,,,,,
5,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_zm_10,,,,,,,,,,,,,,,,,,,,
6,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_zm_11,,,,,,,,,,,,,,,,,,,,
7,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_zm_12,,,,,,,,,,,,,,,,,,,,
